class1,class2,class3,type,name,state
Erythroblast,Proerythroblast,Proerythroblast,1,1,1
Erythroblast,Basophilic erythroblast,Basophilic erythroblast,1,2,1
Erythroblast,Polychromatic erythroblast,Polychromatic erythroblast,1,3,1
Erythroblast,Orthochromatic erythroblast,Orthochromatic erythroblast,1,4,1
Granulocytes,Neutrophil,Neutrophil,2,1,1
Granulocytes,Premyelocyte,Premyelocyte,2,2,1
Granulocytes,Myelocyte,Myelocyte,2,3,1
Granulocytes,Metamyelocyte,Metamyelocyte,2,4,1
Granulocytes,Stab cell,Stab cell,2,5,2
Granulocytes,Segmented cell,Segmented cell,2,5,3
Granulocytes,Eosinophil(immature),Eosinophil,2,6,2
Granulocytes,Eosinophil(mature),Eosinophil,2,6,3
Granulocytes,Basophil(immature),Basophil,2,7,2
Granulocytes,Basophil(mature),Basophil,2,7,3
Other white bloodcells,Monocyte,Monocyte,3,1,1
Other white bloodcells,Lymphocyte,Lymphocyte,3,2,1
Other white bloodcells,Plasma cell,Plasma cell,3,3,1
Other,Undeterminable,Undeterminable,0,0,0
Other,Megakaryocyte,Megakaryocyte,0,1,0
